,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
Hunter Line,Concession,9780,12355,9543,10852,7739,4515,4492,6560,18338,12609,16169,7100,8043,14719,9134,11006,7908,5453,4448,7402,17871,11890,18225,8630,7012,15965,11406,10938,8424,3905,3986,7559,17188,12918
Hunter Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,1155,1440,2185,2795,3264
Hunter Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Hunter Line,Day Pass without SAF,,,,,,,,,,,,,,,7,5,,,,,,10,9,11,12,16,26,24,18,32,21,17,16,23
Hunter Line,Employee,660,553,713,714,804,635,609,663,807,641,785,744,720,788,749,800,813,1483,684,720,765,757,894,719,687,656,608,574,626,560,526,667,742,714
Hunter Line,Free Travel,103,95,92,86,111,96,87,86,113,125,141,117,154,139,155,145,169,187,139,104,148,212,229,136,207,196,241,232,227,167,210,219,248,204
Hunter Line,School Student,7546,4972,4351,3809,4699,1956,360,3898,4882,1622,4838,4087,2300,4975,2852,3305,4316,3124,206,4207,5034,2220,5827,4715,2307,4744,4157,2946,4753,2154,336,5587,6517,3470
Hunter Line,Senior/Pensioner,16455,14253,17892,17342,19218,17001,16993,17326,20172,18380,19798,16888,15486,15424,15587,15768,17575,19728,14258,15582,16515,16783,17982,14531,16723,17101,16025,16015,16421,14350,13773,17045,18485,18064
Hunter Line,Sgl Trip Rail Adult,335,570,749,775,829,774,662,631,787,868,611,507,913,974,945,926,1334,2404,1010,1116,1083,1061,953,780,824,842,902,907,1085,839,720,664,779,753
Hunter Line,Sgl Trip Rail Child/Youth,177,231,367,375,220,419,532,281,283,469,259,213,589,392,778,688,571,1383,1094,580,660,847,532,343,654,397,578,562,504,596,834,378,355,447
South Coast Line,Adult,534213,602210,577663,561571,614058,563097,527438,559752,666487,572069,664497,592241,544210,614741,582405,613841,593322,527118,538518,562650,620439,589384,635318,559426,582885,610099,566203,619193,604512,520334,557375,567204,634049,594948
South Coast Line,Child/Youth,34743,29180,36102,36040,34017,46759,53345,30987,35938,46416,30600,33542,43830,29423,39007,38229,30441,43754,52531,32783,32853,46727,28543,30902,45010,27755,29018,39578,29806,37727,53010,29518,31534,42145
South Coast Line,Concession,65951,83095,65889,63668,51374,40291,35863,44899,93203,66685,87337,55123,48506,84303,63886,65794,47854,36737,35622,44884,82626,65183,80513,49696,49609,79719,64657,59998,44620,32894,33370,41293,77822,63479
South Coast Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591,9838,16192,17574,21921,23173
South Coast Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,2,,,,,,,,1,1,,4,4,,,,,,,
South Coast Line,Day Pass without SAF,,,,,,,,,,,,,,,8,2,,,,,,2,5,8,3,3,26,25,23,13,25,30,31,20
South Coast Line,Employee,6852,8351,8294,7923,8917,8104,7331,8260,9594,7380,9633,8953,7637,8660,7907,8178,7948,6812,6698,7160,7567,7313,8313,7280,7183,7470,6898,7923,7850,6409,7177,7330,7815,7486
South Coast Line,Free Travel,696,900,826,755,933,875,891,893,1119,913,1129,969,863,929,928,861,894,763,817,846,925,918,912,802,914,883,896,1020,1025,789,858,939,972,958
South Coast Line,School Student,13036,30954,22494,21041,28053,11003,1757,29832,36084,12371,36084,29248,13965,31871,20972,21306,25978,8546,1862,28984,31764,13255,35574,28126,14369,32864,27706,18813,29699,12379,2213,34571,38368,19764
South Coast Line,Senior/Pensioner,92599,106924,107078,107609,116670,104044,97172,101542,116607,105596,119768,107491,97916,106639,102856,108940,107753,98019,98691,101675,108814,108451,113224,98129,101881,105241,101207,111848,109383,96174,100912,107634,110193,108354
South Coast Line,Sgl Trip Rail Adult,1514,5992,6546,6282,6751,7537,6240,5708,6591,6118,5571,5249,6100,6060,6525,6866,6471,7607,7180,6585,6786,6479,5978,5523,5276,5389,5106,6345,6043,6180,5398,4479,4850,4823
South Coast Line,Sgl Trip Rail Child/Youth,428,1318,1724,1621,1230,2203,2310,946,1175,1966,1035,1262,2349,1477,1892,1898,1357,2409,2729,1286,1426,2162,1360,1359,1966,1126,1193,1798,1164,1618,2211,874,958,1757
