,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
Sydney Metro Contract 5,Child/Youth Single Bus Trip 1,,"2,366","2,235","1,864","1,611","1,920","2,194","1,020","1,120","1,640",989,913,"1,387",828,"1,183","1,011",758,"1,062","1,362",666,674,"1,125",580,523,"1,062",542,634,"1,101",761,"1,030","1,430",529,729,"1,068"
Sydney Metro Contract 5,Child/Youth Single Bus Trip 2,,790,913,695,538,692,843,367,405,565,301,308,482,301,556,408,262,447,598,223,254,511,219,202,451,183,213,368,267,392,520,222,270,415
Sydney Metro Contract 5,Child/Youth Single Bus Trip 3,,20,26,34,23,33,25,13,6,5,8,16,12,5,10,9,8,7,15,4,9,16,10,13,20,8,4,14,8,14,15,1,4,8
Sydney Metro Contract 5,Concession,"26,744","17,118","14,941","14,027","13,506","11,109","10,058","12,418","19,561","14,292","19,212","14,505","13,637","18,556","15,898","16,131","15,064","11,923","11,549","13,872","21,592","17,692","21,562","16,619","17,299","22,754","19,111","18,647","16,696","13,126","12,507","15,141","22,073","18,115"
Sydney Metro Contract 5,Employee,,,,,,,,,,,,1,,1,,,,,,,,,,,1,149,308,324,413,397,383,396,511,499
Sydney Metro Contract 5,Free Travel,374,562,567,492,438,433,443,486,628,513,661,572,590,604,590,622,657,548,558,561,618,574,585,544,559,530,478,545,591,506,492,446,565,539
Sydney Metro Contract 5,School Student,"18,869","43,686","32,966","29,215","46,283","18,087","2,487","40,017","48,195","16,815","49,281","39,762","19,343","41,402","27,328","26,725","33,170","12,019","2,429","32,537","38,112","15,185","38,572","29,891","15,925","33,908","29,273","19,672","33,960","17,099","2,621","38,868","45,211","23,064"
Sydney Metro Contract 5,Senior/Pensioner,"97,341","109,677","107,088","105,051","112,180","105,763","97,595","100,073","114,394","96,433","116,945","107,627","105,544","112,661","109,448","109,115","113,980","102,841","101,840","104,736","116,446","104,108","120,125","105,394","114,527","119,100","110,976","115,385","118,461","112,940","108,507","112,626","121,856","111,920"
Sydney Metro Contract 5,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,3,3,8,3,24,12
Sydney Metro Contract 6,Adult,"2,410,236","2,615,554","2,437,412","2,451,474","2,556,355","2,334,068","2,287,165","2,351,875","3,067,464","2,539,878","2,888,676","2,611,227","2,727,256","2,935,236","2,738,208","2,924,209","2,964,461","2,596,538","2,614,731","2,695,099","3,053,020","2,780,262","3,326,922","3,052,246","1,271",,,,,,,,,
Sydney Metro Contract 6,Adult Single Bus Trip 1,,"16,742","12,806","13,846","14,339","14,499","13,891","11,685","13,657","12,088","12,141","10,593","11,487","10,770","11,247","11,718","11,049","11,570","9,101","8,168","10,383","9,615","9,821","8,558",9,,,,,,,,,
Sydney Metro Contract 6,Adult Single Bus Trip 2,,"6,727","4,763","4,998","5,224","5,379","5,229","4,285","5,256","4,353","4,544","4,184","4,422","3,955","4,011","4,372","4,153","4,373","3,482","2,956","3,851","3,579","3,495","3,026",4,,,,,,,,,
Sydney Metro Contract 6,Adult Single Bus Trip 3,,659,412,471,498,494,462,387,456,412,384,342,360,323,288,358,356,350,279,280,365,316,311,255,,,,,,,,,,
Sydney Metro Contract 6,Child/Youth,"139,732","113,017","129,479","132,287","122,608","157,359","175,191","124,490","143,930","164,966","121,108","124,098","179,635","132,187","152,574","152,281","135,371","175,919","198,278","143,392","151,935","177,697","135,249","135,719",52,,,,,,,,,
Sydney Metro Contract 6,Child/Youth Single Bus Trip 1,,"4,596","3,114","3,030","2,728","3,168","3,300","1,658","1,895","2,647","1,767","1,707","2,391","1,612","2,004","1,920","1,398","1,935","1,625",805,"1,125","1,413",949,952,,,,,,,,,,
Sydney Metro Contract 6,Child/Youth Single Bus Trip 2,,"1,800","1,234","1,235","1,002","1,399","1,410",725,803,"1,182",718,685,"1,045",734,894,814,630,956,777,367,588,698,439,421,,,,,,,,,,
Sydney Metro Contract 6,Child/Youth Single Bus Trip 3,,164,114,118,87,117,108,53,82,129,57,59,91,71,71,71,59,97,65,33,63,47,52,44,,,,,,,,,,
Sydney Metro Contract 6,Concession,"262,299","405,639","327,430","324,136","256,357","185,338","177,171","211,073","466,234","339,626","427,677","308,893","258,664","479,038","364,767","381,561","299,290","203,285","192,835","233,515","439,961","359,541","482,743","346,264",163,,,,,,,,,
Sydney Metro Contract 6,Employee,"19,783","22,013","22,077","21,665","23,734","22,975","20,473","21,902","26,529","22,590","25,672","23,489","24,112","25,222","23,875","24,335","25,554","22,019","20,991","22,843","24,846","22,578","26,997","24,665",13,,,,,,,,,
