,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
Sydney Metro Contract 5,Child/Youth Single Bus Trip 2,,790,913,695,538,692,843,367,405,565,301,308,482,301,556,408,262,447,598,223,254,511,219,202,451,183,213,368,267,392,520,222,270,415
Sydney Metro Contract 5,Child/Youth Single Bus Trip 3,,20,26,34,23,33,25,13,6,5,8,16,12,5,10,9,8,7,15,4,9,16,10,13,20,8,4,14,8,14,15,1,4,8
Sydney Metro Contract 5,Concession,26744,17118,14941,14027,13506,11109,10058,12418,19561,14292,19212,14505,13637,18556,15898,16131,15064,11923,11549,13872,21592,17692,21562,16619,17299,22754,19111,18647,16696,13126,12507,15141,22073,18115
Sydney Metro Contract 5,Employee,,,,,,,,,,,,1,,1,,,,,,,,,,,1,149,308,324,413,397,383,396,511,499
Sydney Metro Contract 5,Free Travel,374,562,567,492,438,433,443,486,628,513,661,572,590,604,590,622,657,548,558,561,618,574,585,544,559,530,478,545,591,506,492,446,565,539
Sydney Metro Contract 5,School Student,18869,43686,32966,29215,46283,18087,2487,40017,48195,16815,49281,39762,19343,41402,27328,26725,33170,12019,2429,32537,38112,15185,38572,29891,15925,33908,29273,19672,33960,17099,2621,38868,45211,23064
Sydney Metro Contract 5,Senior/Pensioner,97341,109677,107088,105051,112180,105763,97595,100073,114394,96433,116945,107627,105544,112661,109448,109115,113980,102841,101840,104736,116446,104108,120125,105394,114527,119100,110976,115385,118461,112940,108507,112626,121856,111920
Sydney Metro Contract 5,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,3,3,8,3,24,12
Sydney Metro Contract 6,Adult,2410236,2615554,2437412,2451474,2556355,2334068,2287165,2351875,3067464,2539878,2888676,2611227,2727256,2935236,2738208,2924209,2964461,2596538,2614731,2695099,3053020,2780262,3326922,3052246,1271,,,,,,,,,
Sydney Metro Contract 6,Adult Single Bus Trip 1,,16742,12806,13846,14339,14499,13891,11685,13657,12088,12141,10593,11487,10770,11247,11718,11049,11570,9101,8168,10383,9615,9821,8558,9,,,,,,,,,
Sydney Metro Contract 6,Adult Single Bus Trip 2,,6727,4763,4998,5224,5379,5229,4285,5256,4353,4544,4184,4422,3955,4011,4372,4153,4373,3482,2956,3851,3579,3495,3026,4,,,,,,,,,
Sydney Metro Contract 6,Adult Single Bus Trip 3,,659,412,471,498,494,462,387,456,412,384,342,360,323,288,358,356,350,279,280,365,316,311,255,,,,,,,,,,
Sydney Metro Contract 6,Child/Youth,139732,113017,129479,132287,122608,157359,175191,124490,143930,164966,121108,124098,179635,132187,152574,152281,135371,175919,198278,143392,151935,177697,135249,135719,52,,,,,,,,,
Sydney Metro Contract 6,Child/Youth Single Bus Trip 1,,4596,3114,3030,2728,3168,3300,1658,1895,2647,1767,1707,2391,1612,2004,1920,1398,1935,1625,805,1125,1413,949,952,,,,,,,,,,
Sydney Metro Contract 6,Child/Youth Single Bus Trip 2,,1800,1234,1235,1002,1399,1410,725,803,1182,718,685,1045,734,894,814,630,956,777,367,588,698,439,421,,,,,,,,,,
Sydney Metro Contract 6,Child/Youth Single Bus Trip 3,,164,114,118,87,117,108,53,82,129,57,59,91,71,71,71,59,97,65,33,63,47,52,44,,,,,,,,,,
Sydney Metro Contract 6,Concession,262299,405639,327430,324136,256357,185338,177171,211073,466234,339626,427677,308893,258664,479038,364767,381561,299290,203285,192835,233515,439961,359541,482743,346264,163,,,,,,,,,
Sydney Metro Contract 6,Employee,19783,22013,22077,21665,23734,22975,20473,21902,26529,22590,25672,23489,24112,25222,23875,24335,25554,22019,20991,22843,24846,22578,26997,24665,13,,,,,,,,,
Sydney Metro Contract 6,Free Travel,3328,4137,4267,4214,4837,4736,4542,4559,5672,4850,5575,5316,5719,6151,5544,5811,6167,5289,5209,5496,5995,5524,6330,6236,,,,,,,,,,
Sydney Metro Contract 6,School Student,53202,121139,88067,79943,107029,41947,8005,107824,127872,44894,122296,94043,55308,123484,81246,80727,102449,37485,8572,114515,122799,53969,142389,116246,,,,,,,,,,
Sydney Metro Contract 6,Senior/Pensioner,603906,663161,656139,663452,700294,662857,616555,624926,753269,662986,724664,670082,705632,736567,698275,721404,746741,682047,663050,681193,741434,682103,806250,727614,140,,,,,,,,,
Sydney Metro Contract 6,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,1,7,4,,,,,,,,,,,,,,,,,,
Sydney Metro Contract 6,Day Pass without SAF,,,,,,,,,,,,,,1,13,6,,,,,4,10,14,17,,,,,,,,,,
SBSC Contract 6,Adult,,,,,,,,,,,,,,,,,,,,,,,,,3310834,3642256,3360023,3535201,3575593,3095814,3205800,3346669,3746945,3318638
SBSC Contract 6,Adult Single Bus Trip 1,,,,,,,,,,,,,,,,,,,,,,,,,7108,6118,5240,5756,5290,5296,5173,4051,3806,3447
SBSC Contract 6,Adult Single Bus Trip 2,,,,,,,,,,,,,,,,,,,,,,,,,3000,2537,2148,2365,2158,2265,2102,1803,1697,1590
SBSC Contract 6,Adult Single Bus Trip 3,,,,,,,,,,,,,,,,,,,,,,,,,319,250,234,313,266,267,287,211,225,195
SBSC Contract 6,Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,203734,154706,151015,189215,155544,193351,231994,169494,175448,192617
SBSC Contract 6,Child/Youth Single Bus Trip 1,,,,,,,,,,,,,,,,,,,,,,,,,1104,639,608,869,535,619,754,414,364,424
SBSC Contract 6,Child/Youth Single Bus Trip 2,,,,,,,,,,,,,,,,,,,,,,,,,570,334,322,441,254,348,370,164,166,258
SBSC Contract 6,Child/Youth Single Bus Trip 3,,,,,,,,,,,,,,,,,,,,,,,,,60,38,29,50,26,49,52,24,33,40
SBSC Contract 6,Concession,,,,,,,,,,,,,,,,,,,,,,,,,297114,513127,405273,419701,324502,219004,218243,302385,511567,410129
SBSC Contract 6,Employee,,,,,,,,,,,,,,,,,,,,,,,,,26035,27077,25204,27235,27663,24942,24430,24931,26559,24387
SBSC Contract 6,Free Travel,,,,,,,,,,,,,,,,,,,,,,,,,6994,7691,6906,7011,7436,6700,6718,6839,7546,6569
SBSC Contract 6,School Student,,,,,,,,,,,,,,,,,,,,,,,,,64031,149272,130973,84101,137746,62450,11694,161665,177516,95558
SBSC Contract 6,Senior/Pensioner,,,,,,,,,,,,,,,,,,,,,,,,,800753,847959,790670,807285,840984,784972,761496,787970,849506,787237
SBSC Contract 6,On Demand,,,,,,,,,,,,,,,,,,,,,,,,,1521,2570,2497,3000,3156,3844,4270,5527,6960,
SBSC Contract 6,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,2,7,,1,22,1
SBSC Contract 6,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,21,35,27,53,55,31,70,73,117,98
Sydney Metro Contract 7,Adult,1615630,1765221,1623332,1608819,1726702,1520498,1482216,1598062,1851181,1484682,1831342,1622887,1658338,1793093,1641830,1718746,1807674,1555589,1600683,1677417,1835385,1655426,1923974,1739114,1820352,1958776,1783126,1984082,2045621,1742609,1824645,1927853,2121425,1852062
Sydney Metro Contract 7,Adult Single Bus Trip 1,,7796,5791,5919,6279,5702,5815,4661,5798,4801,5225,4525,4694,4585,4616,4714,4713,5074,4036,3414,4228,2580,1332,1314,1322,1210,1187,1016,1262,746,728,394,459,144
Sydney Metro Contract 7,Adult Single Bus Trip 2,,5332,3832,4302,4355,4267,3978,3297,3823,3568,3665,3297,3318,3144,3032,3318,3144,3545,2708,2524,2981,1796,919,905,964,925,839,753,997,688,559,380,395,130
Sydney Metro Contract 7,Adult Single Bus Trip 3,,2433,1573,1763,1795,1929,1708,1387,1671,1528,1458,1471,1510,1268,1239,1337,1204,1548,1127,945,1253,732,370,359,326,345,307,316,385,277,266,156,174,65
Sydney Metro Contract 7,Child/Youth,128451,109290,121985,125165,119879,137529,148314,120764,126221,138672,114682,108564,144479,113175,127230,128015,120335,142149,161300,126384,127913,143206,114476,111480,156120,122100,116670,151484,129800,149715,175767,138602,142599,151815
Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,,2580,1555,1520,1291,1524,1643,820,953,1300,877,714,1176,652,804,753,637,953,919,429,541,477,166,183,304,142,199,200,201,121,148,61,63,27
Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,,1712,1172,1144,992,1250,1271,655,839,1102,678,651,973,568,683,673,545,872,783,328,516,425,171,132,246,145,153,163,126,101,120,55,54,15
Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,,439,297,302,264,329,368,219,220,261,183,172,266,155,157,152,126,220,197,89,111,110,43,43,51,35,30,39,30,48,35,16,15,7
Sydney Metro Contract 7,Concession,140995,196428,154998,153843,132648,105962,96696,121569,213253,145320,192197,137650,129483,198785,154215,160979,139695,109913,105384,124627,203544,157590,193257,143692,134425,205497,160149,178982,150245,117299,111408,142707,225748,175178
Sydney Metro Contract 7,Employee,9382,10956,10284,10304,10879,9644,9235,9796,11223,8995,11314,9925,10426,11193,10041,10280,10905,9699,9652,10552,10848,10021,11757,10485,11031,11601,10792,11556,11806,10391,10381,11328,12328,10731
Sydney Metro Contract 7,Free Travel,2229,2910,2894,2861,3274,3224,2898,3114,3671,3192,3919,3203,3203,3829,3482,3509,3752,3343,3191,3556,3672,3143,3580,3382,3254,3858,3617,3996,3840,3493,3450,3723,3925,3485
